classifier,selector,feature_count,feature_count,accuracy,accuracy,macro_f1,macro_f1,balanced_accuracy,balanced_accuracy,mcc,mcc,training_seconds,training_seconds,milliseconds_per_record,milliseconds_per_record,serialized_model_bytes,serialized_model_bytes
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Linear_Logistic_SGD_Scaled,CS_SHAP_Union,18.6,0.8944271909999155,0.7969153087176506,0.022079882282575118,0.740530375339927,0.03661655019538621,0.7581229680726891,0.036233875419559664,0.7802532382691616,0.022914840412724274,5.029914075599845,0.5164375766661237,0.00134940454722168,5.093966371282202e-05,9169.4,218.00412840127586
Linear_Logistic_SGD_Scaled,Class_Balanced_15,15.0,0.0,0.8025686295026766,0.015305104719440929,0.7526841126782371,0.021006457619025715,0.7671286097672514,0.011777511998627864,0.7866364202788334,0.016248345525966355,4.485937964999903,0.2567631586463585,0.00126689327156288,6.306188878792151e-05,8479.8,224.1399116623362
Linear_Logistic_SGD_Scaled,Full_42,42.0,0.0,0.8290202254753589,0.0076382833078757414,0.7885097722283397,0.0075085488542834,0.80583499249434,0.005406016845521332,0.8143859962058657,0.00846154717652936,7.31439977880018,0.8420096999400798,0.00194550170738664,7.524411353628466e-05,13709.4,225.45908719765526
Linear_Logistic_SGD_Scaled,Mutual_Information_19,19.0,0.0,0.7746201954326639,0.01959024125332941,0.7258650480729225,0.027994666831781596,0.7382218725040639,0.02360212054593115,0.7557036767622004,0.02078859634026432,5.8160742546002435,0.4093791030751556,0.00165839123362592,6.617106700379149e-05,9660.8,224.0997545737163
Linear_Logistic_SGD_Scaled,Natural_Global_20,20.0,0.0,0.8137799132229333,0.014537754037903165,0.7716382412012772,0.015274087136685547,0.7936214670497079,0.01041218774718294,0.7984898072990501,0.01564638098610055,5.342102740600057,0.29290935566124854,0.00149598220565692,8.603815789391701e-05,9760.6,222.943490597954
Linear_Logistic_SGD_Scaled,Random_Forest_Importance_19,19.0,0.0,0.7773753998101529,0.012363331495217738,0.7283587753051657,0.02232753375399647,0.7401177218671883,0.015159901332657384,0.7585618015609896,0.012518301771006577,5.7424826364002,0.4902757735769417,0.0016565568453749402,0.00010826419003584918,9653.6,222.16052754708716
Linear_Logistic_SGD_Scaled,Stable_Balanced_Core,14.2,0.44721359549995776,0.777398802666345,0.021921835322998802,0.7188827236001526,0.02948533390459569,0.7368516518052198,0.02655945928462136,0.759722956809425,0.023528318828660133,4.556033839199881,0.4285212267710294,0.00128894328962736,6.44206386476662e-05,8320.2,243.44855719432817
Linear_Logistic_SGD_Scaled,Stable_Minority_Only,14.0,0.7071067811865476,0.6082188226367105,0.018862557973971166,0.5503719102181901,0.018468074398909136,0.5772958171985312,0.02633727888488544,0.5747576066083028,0.02102366807479108,4.39388070879977,0.43705442265518546,0.00094078163455066,6.042372894532232e-05,7423.8,170.84847087404668
Random_Forest,CS_SHAP_Union,18.6,0.8944271909999155,0.9734449255706084,0.002171523061652822,0.9537358653204799,0.0069613047982831746,0.966997301586952,0.0007026990400448308,0.9710760096223833,0.002316071069892986,18.566231112000423,1.378339989841842,0.02943172013309664,0.003414086612311359,170671155.2,2019753.9560198148
